P=? [ F[T,T] "safetyfailure" ]:
T	Result
0	0.0
5	0.007756597745586905
10	0.015300064278814226
15	0.022635818333677008
20	0.02976916135151545
25	0.03670527424381823
30	0.04344922843033818
35	0.05000597779812725
40	0.05638037247223146
45	0.06257714280221348
50	0.06860091888883971

P=? [ F[T,T] "corrupted" ]:
T	Result
0	0.0
5	0.019748123089209813
10	0.03899956089568758
15	0.05776482180294167
20	0.07605429228618382
25	0.09387822009433316
30	0.11124673448944748
35	0.12816981782629386
40	0.14465733362733085
45	0.16071897818007314
50	0.17636432416188255
